symbol,name,icon
GILD,"Gilead Sciences, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/gild.svg
SONY,Sony Group Corp,https://image-cdn.pluang.com/icons/light/global-stocks/sony.svg
CMCSA,Comcast Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/cmcsa.svg
HON,Honeywell International Inc,https://image-cdn.pluang.com/icons/light/global-stocks/hon.svg
LOW,Lowe`s Companies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/low.svg
TTE,TotalEnergies SE,https://image-cdn.pluang.com/icons/light/global-stocks/tte.svg
DE,Deere & Company,https://image-cdn.pluang.com/icons/light/global-stocks/de.svg
SCHW,Charles Schwab Corporation Common Stock,https://image-cdn.pluang.com/icons/light/global-stocks/schw.svg
TJX,TJX Companies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/tjx.svg
C,Citigroup Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/c.svg
SHOP,Shopify Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/shop.svg
AMAT,"Applied Materials, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/amat.svg
VRTX,Vertex Pharmaceuticals Incorporated,https://image-cdn.pluang.com/icons/light/global-stocks/vrtx.svg
BHP,BHP Billiton Limited,https://image-cdn.pluang.com/icons/light/global-stocks/bhp.svg
ADP,Automatic Data Processing Inc,https://image-cdn.pluang.com/icons/light/global-stocks/adp.svg
BMY,Bristol-Myers Squibb Co,https://image-cdn.pluang.com/icons/light/global-stocks/bmy.svg
BUD,Anheuser-Busch Inbev SA,https://image-cdn.pluang.com/icons/light/global-stocks/bud.svg
MDT,Medtronic PLC,https://image-cdn.pluang.com/icons/light/global-stocks/mdt.svg
SBUX,Starbucks Corp,https://image-cdn.pluang.com/icons/light/global-stocks/sbux.svg
PANW,Palo Alto Networks Inc,https://image-cdn.pluang.com/icons/light/global-stocks/panw.svg
NKE,Nike Inc,https://image-cdn.pluang.com/icons/light/global-stocks/nke.svg
MMC,"Marsh & McLennan Companies, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/mmc.svg
BA,Boeing Co,https://image-cdn.pluang.com/icons/light/global-stocks/ba.svg
COP,ConocoPhillips,https://image-cdn.pluang.com/icons/light/global-stocks/cop.svg
CB,Chubb Ltd,https://image-cdn.pluang.com/icons/light/global-stocks/cb.svg
ADI,"Analog Devices, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/adi.svg
LMT,Lockheed Martin Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/lmt.svg
BX,Blackstone Inc,https://image-cdn.pluang.com/icons/light/global-stocks/bx.svg
PLD,Prologis Inc,https://image-cdn.pluang.com/icons/light/global-stocks/pld.svg
SPOT,Spotify Technology,https://image-cdn.pluang.com/icons/light/global-stocks/spot.svg
ANET,Arista Networks Inc,https://image-cdn.pluang.com/icons/light/global-stocks/anet.svg
TD,Toronto-Dominion Bank,https://image-cdn.pluang.com/icons/light/global-stocks/td.svg
UPS,United Parcel Service Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ups.svg
MU,"Micron Technology, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/mu.svg
MELI,Mercadolibre Inc,https://image-cdn.pluang.com/icons/light/global-stocks/meli.svg
LRCX,Lam Research Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/lrcx.svg
AMT,American Tower Corp,https://image-cdn.pluang.com/icons/light/global-stocks/amt.svg
MO,Altria Group Inc,https://image-cdn.pluang.com/icons/light/global-stocks/mo.svg
